,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Mood (feat. iann dior)",24kGoldn,15136205,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
2,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",13021829,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
3,Dynamite,BTS,11071136,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
4,"WAP (feat. Megan Thee Stallion)","Cardi B",10990636,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
5,Hawái,Maluma,10312139,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
6,"What You Know Bout Love","Pop Smoke",10273731,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
7,"Holy (feat. Chance The Rapper)","Justin Bieber",9559119,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
8,"Blinding Lights","The Weeknd",9264743,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
9,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",9250665,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
10,"Lonely (with benny blanco)","Justin Bieber",9068407,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
11,"Watermelon Sugar","Harry Styles",8631776,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
12,"you broke me first","Tate McRae",7911958,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
13,"Head & Heart (feat. MNEK)","Joel Corry",7880702,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
14,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,7140434,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
15,Heather,"Conan Gray",6835715,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
16,"Relación - Remix",Sech,6766369,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
17,Wonder,"Shawn Mendes",6662598,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb
18,"Laugh Now Cry Later (feat. Lil Durk)",Drake,6646715,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
19,"Put Your Records On","Ritt Momney",6612097,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
20,"Savage Love (Laxed - Siren Beat)","Jawsh 685",6383895,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
21,"Dreams - 2004 Remaster","Fleetwood Mac",6058042,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
22,"Someone You Loved","Lewis Capaldi",5969288,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
23,"Lovesick Girls",BLACKPINK,5881811,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
24,"Roses - Imanbek Remix","SAINt JHN",5842044,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
25,"Ice Cream (with Selena Gomez)",BLACKPINK,5791728,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
26,"La Tóxica",Farruko,5783197,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
27,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",5549900,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
28,"La Curiosidad","Jay Wheeler",5514189,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
29,"Take You Dancing","Jason Derulo",5510482,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
30,"Before You Go","Lewis Capaldi",5455344,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
31,"Vida de Rico",Camilo,5441674,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
32,"Breaking Me",Topic,5332471,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
33,"Se Te Nota (with Guaynaa)","Lele Pons",5314860,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
34,"POPSTAR (feat. Drake)","DJ Khaled",5262087,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
35,"Midnight Sky","Miley Cyrus",5121801,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
36,"Ay, DiOs Mío!","KAROL G",5091347,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
37,"Dance Monkey","Tones And I",5082291,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
38,"Come & Go (with Marshmello)","Juice WRLD",4886803,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
39,"Una Locura",Ozuna,4877994,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
40,"Mood Swings (feat. Lil Tjay)","Pop Smoke",4857271,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
41,Despeinada,Ozuna,4775955,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
42,"How You Like That",BLACKPINK,4714898,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
43,"Tattoo - Remix with Camilo","Rauw Alejandro",4595867,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
44,"La Jeepeta - Remix","Nio Garcia",4468799,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
45,Daisy,Ashnikko,4407786,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk
46,"Don't Start Now","Dua Lipa",4404389,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
47,Jeans,"Justin Quiles",4395177,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
48,"Wishing Well","Juice WRLD",4347105,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
49,"death bed (coffee for your head)",Powfu,4288787,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
50,"Levitating (feat. DaBaby)","Dua Lipa",4203703,https://open.spotify.com/track/6OqrJqDMu15AGJHJazg9Nr
51,"Mi Cuarto","Jerry Di",3948334,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
52,Sofia,Clairo,3930854,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
53,"Rain On Me (with Ariana Grande)","Lady Gaga",3910433,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
54,"Go Crazy","Chris Brown",3876197,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
55,Circles,"Post Malone",3865037,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
